"Date","Price","Open","High","Low","Change %"
"Dec 25, 2022","3.833","3.833","3.833","3.833","0.00%"
"Dec 24, 2022","3.833","3.833","3.833","3.833","-0.34%"
"Dec 23, 2022","3.846","3.805","3.852","3.805","1.93%"
"Dec 22, 2022","3.773","3.733","3.778","3.712","0.96%"
"Dec 21, 2022","3.737","3.712","3.769","3.703","-0.69%"
"Dec 20, 2022","3.763","3.573","3.776","3.573","6.72%"
"Dec 19, 2022","3.526","3.472","3.546","3.461","1.09%"
"Dec 18, 2022","3.488","3.472","3.499","3.472","0.40%"
"Dec 17, 2022","3.474","3.474","3.474","3.474","0.35%"
"Dec 16, 2022","3.462","3.453","3.478","3.437","-0.06%"
"Dec 15, 2022","3.464","3.385","3.477","3.374","3.22%"
"Dec 14, 2022","3.356","3.381","3.389","3.351","-1.41%"
"Dec 13, 2022","3.404","3.378","3.420","3.372","1.04%"
"Dec 12, 2022","3.369","3.339","3.382","3.339","0.15%"
"Dec 11, 2022","3.364","3.339","3.377","3.339","-0.03%"
"Dec 10, 2022","3.365","3.365","3.365","3.365","1.91%"
"Dec 09, 2022","3.302","3.365","3.365","3.298","-1.05%"
"Dec 08, 2022","3.337","3.294","3.343","3.289","-0.77%"
"Dec 07, 2022","3.363","3.341","3.371","3.341","-0.12%"
"Dec 06, 2022","3.367","3.381","3.385","3.342","-0.36%"
"Dec 05, 2022","3.379","3.343","3.384","3.325","1.23%"
"Dec 04, 2022","3.338","3.343","3.364","3.334","-0.12%"
"Dec 03, 2022","3.342","3.342","3.342","3.342","-1.56%"
"Dec 02, 2022","3.395","3.445","3.445","3.395","-2.83%"
"Dec 01, 2022","3.494","3.511","3.511","3.467","-2.02%"
"Nov 30, 2022","3.566","3.634","3.640","3.566","-0.59%"
"Nov 29, 2022","3.587","3.566","3.597","3.547","1.10%"
"Nov 28, 2022","3.548","3.603","3.635","3.529","-1.55%"
"Nov 27, 2022","3.604","3.603","3.635","3.594","0.03%"
"Nov 26, 2022","3.603","3.603","3.603","3.603","0.36%"
"Nov 25, 2022","3.590","3.530","3.594","3.516","0.87%"
"Nov 24, 2022","3.559","3.588","3.592","3.543","-1.47%"
"Nov 23, 2022","3.612","3.574","3.613","3.551","0.33%"
"Nov 22, 2022","3.600","3.599","3.616","3.584","0.33%"
"Nov 21, 2022","3.588","3.641","3.674","3.588","-1.67%"
"Nov 20, 2022","3.649","3.641","3.674","3.637","0.30%"
"Nov 19, 2022","3.638","3.638","3.638","3.638","0.19%"
"Nov 18, 2022","3.631","3.648","3.671","3.617","-0.25%"
"Nov 17, 2022","3.640","3.602","3.652","3.602","-1.89%"
"Nov 16, 2022","3.710","3.712","3.723","3.677","-1.75%"
"Nov 15, 2022","3.776","3.735","3.781","3.723","0.59%"
"Nov 14, 2022","3.754","3.679","3.767","3.665","1.13%"
"Nov 13, 2022","3.712","3.679","3.713","3.665","0.90%"
"Nov 12, 2022","3.679","3.667","3.679","3.667","0.57%"
"Nov 11, 2022","3.658","3.575","3.678","3.551","-2.74%"
"Nov 10, 2022","3.761","3.848","3.848","3.759","-3.74%"
"Nov 09, 2022","3.907","3.958","3.968","3.888","-3.65%"
"Nov 08, 2022","4.055","3.998","4.063","3.987","3.73%"
"Nov 07, 2022","3.909","3.897","3.944","3.878","0.70%"
"Nov 06, 2022","3.882","3.897","3.944","3.878","-0.46%"
"Nov 05, 2022","3.900","3.900","3.900","3.900","0.85%"
"Nov 04, 2022","3.867","3.916","3.925","3.861","-1.38%"
"Nov 03, 2022","3.921","3.877","3.928","3.873","3.87%"
"Nov 02, 2022","3.775","3.765","3.778","3.739","-0.58%"
