"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","3.469","3.435","3.490","3.429","1.02%"
"Dec 22, 2022","3.434","3.390","3.459","3.360","1.27%"
"Dec 21, 2022","3.391","3.394","3.400","3.346","-0.50%"
"Dec 20, 2022","3.408","3.389","3.412","3.357","3.46%"
"Dec 19, 2022","3.294","3.276","3.319","3.255","1.60%"
"Dec 16, 2022","3.242","3.261","3.326","3.242","2.89%"
"Dec 15, 2022","3.151","3.011","3.193","2.954","6.09%"
"Dec 14, 2022","2.970","2.918","3.028","2.918","1.16%"
"Dec 13, 2022","2.936","2.972","3.009","2.854","-1.31%"
"Dec 12, 2022","2.975","2.943","2.975","2.903","0.88%"
"Dec 09, 2022","2.949","2.772","2.966","2.755","4.28%"
"Dec 08, 2022","2.828","2.772","2.844","2.755","2.09%"
"Dec 07, 2022","2.770","2.751","2.828","2.742","-1.14%"
"Dec 06, 2022","2.802","2.888","2.895","2.798","-2.71%"
"Dec 05, 2022","2.880","2.878","2.901","2.828","0.88%"
"Dec 02, 2022","2.855","2.819","2.881","2.764","1.24%"
"Dec 01, 2022","2.820","2.864","2.890","2.807","-4.37%"
"Nov 30, 2022","2.949","2.963","2.980","2.925","1.27%"
"Nov 29, 2022","2.912","2.936","2.948","2.868","-2.71%"
"Nov 28, 2022","2.993","2.922","3.032","2.913","1.15%"
"Nov 25, 2022","2.959","2.848","2.975","2.827","5.60%"
"Nov 24, 2022","2.802","2.844","2.853","2.770","-3.25%"
"Nov 23, 2022","2.896","2.996","3.026","2.875","-3.08%"
"Nov 22, 2022","2.988","3.005","3.033","2.959","0.13%"
"Nov 21, 2022","2.984","3.003","3.047","2.953","-0.60%"
"Nov 19, 2022","3.002","3.002","3.002","3.002","-1.02%"
"Nov 18, 2022","3.033","3.040","3.117","2.990","-0.69%"
"Nov 17, 2022","3.054","2.984","3.069","2.968","0.76%"
"Nov 16, 2022","3.031","3.123","3.126","3.006","-3.59%"
"Nov 15, 2022","3.144","3.165","3.216","3.087","-1.87%"
"Nov 14, 2022","3.204","3.204","3.219","3.146","-0.03%"
"Nov 11, 2022","3.205","3.090","3.215","3.061","5.64%"
"Nov 10, 2022","3.034","3.216","3.255","3.003","-5.72%"
"Nov 09, 2022","3.218","3.300","3.323","3.215","-3.22%"
"Nov 08, 2022","3.325","3.408","3.429","3.296","-1.89%"
"Nov 07, 2022","3.389","3.419","3.425","3.313","0.95%"
"Nov 04, 2022","3.357","3.314","3.380","3.275","1.05%"
"Nov 03, 2022","3.322","3.363","3.369","3.292","1.90%"
"Nov 02, 2022","3.260","3.209","3.261","3.200","1.37%"
"Nov 01, 2022","3.216","3.207","3.226","3.105","-1.20%"
"Oct 31, 2022","3.255","3.172","3.261","3.163","3.30%"
"Oct 28, 2022","3.151","3.075","3.207","3.056","5.03%"
"Oct 27, 2022","3.000","3.248","3.304","2.998","-7.35%"
"Oct 26, 2022","3.238","3.248","3.314","3.208","-1.01%"
"Oct 25, 2022","3.271","3.335","3.370","3.249","-5.16%"
"Oct 24, 2022","3.449","3.471","3.550","3.398","-2.87%"
"Oct 21, 2022","3.551","3.601","3.657","3.532","0.08%"
"Oct 20, 2022","3.548","3.604","3.622","3.499","0.57%"
"Oct 19, 2022","3.528","3.485","3.529","3.465","2.98%"
"Oct 18, 2022","3.426","3.465","3.523","3.383","-0.15%"
"Oct 17, 2022","3.431","3.467","3.467","3.389","-2.50%"
"Oct 14, 2022","3.519","3.338","3.543","3.327","1.91%"
"Oct 13, 2022","3.453","3.501","3.601","3.388","-2.37%"
"Oct 12, 2022","3.537","3.501","3.601","3.467","1.96%"
"Oct 11, 2022","3.469","3.507","3.546","3.453","-0.52%"
"Oct 10, 2022","3.487","3.426","3.520","3.356","2.47%"
"Oct 07, 2022","3.403","3.355","3.431","3.317","3.50%"
"Oct 06, 2022","3.288","3.255","3.313","3.196","1.61%"
"Oct 05, 2022","3.236","3.089","3.244","3.077","5.99%"
"Oct 04, 2022","3.053","2.988","3.057","2.934","-0.52%"
"Oct 03, 2022","3.069","3.336","3.353","3.063","-7.00%"
"Sep 30, 2022","3.300","3.364","3.464","3.243","-2.54%"
"Sep 29, 2022","3.386","3.364","3.464","3.361","1.62%"
"Sep 28, 2022","3.332","3.480","3.538","3.313","-2.80%"
"Sep 27, 2022","3.428","3.343","3.451","3.238","4.38%"
"Sep 26, 2022","3.284","3.284","3.304","3.225","2.66%"
"Sep 23, 2022","3.199","3.111","3.242","3.029","2.50%"
"Sep 22, 2022","3.121","3.090","3.131","2.953","3.21%"
"Sep 21, 2022","3.024","3.047","3.059","2.992","-1.91%"
"Sep 20, 2022","3.083","2.977","3.104","2.963","4.37%"
"Sep 19, 2022","2.954","2.901","2.976","2.898","1.72%"
"Sep 17, 2022","2.904","2.904","2.904","2.904","-0.55%"
"Sep 16, 2022","2.920","2.959","2.963","2.908","0.52%"
"Sep 15, 2022","2.905","2.891","2.918","2.857","1.86%"
"Sep 14, 2022","2.852","2.835","2.931","2.835","-0.42%"
