"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","2.865","2.909","2.909","2.858","-0.52%"
"Dec 22, 2022","2.880","2.927","2.927","2.869","-0.62%"
"Dec 21, 2022","2.898","2.936","2.936","2.890","0.00%"
"Dec 20, 2022","2.898","2.918","2.925","2.888","0.07%"
"Dec 19, 2022","2.896","2.993","2.993","2.875","-0.52%"
"Dec 16, 2022","2.911","2.943","2.943","2.906","0.07%"
"Dec 15, 2022","2.909","2.913","2.913","2.890","0.48%"
"Dec 14, 2022","2.895","2.954","2.954","2.888","-1.19%"
"Dec 13, 2022","2.930","2.923","2.943","2.920","0.24%"
"Dec 12, 2022","2.923","3.025","3.025","2.902","-0.07%"
"Dec 09, 2022","2.925","2.950","2.950","2.907","0.65%"
"Dec 08, 2022","2.906","2.932","2.932","2.887","0.14%"
"Dec 07, 2022","2.902","2.984","2.984","2.902","-1.56%"
"Dec 06, 2022","2.948","2.935","2.948","2.919","0.89%"
"Dec 05, 2022","2.922","2.950","2.980","2.906","0.65%"
"Dec 02, 2022","2.903","2.937","2.937","2.897","-0.14%"
"Dec 01, 2022","2.907","2.932","2.948","2.900","-0.55%"
"Nov 30, 2022","2.923","2.943","2.943","2.899","0.41%"
"Nov 29, 2022","2.911","2.880","2.911","2.875","1.53%"
"Nov 28, 2022","2.867","2.925","2.925","2.829","0.92%"
"Nov 25, 2022","2.841","2.828","2.841","2.797","1.21%"
"Nov 24, 2022","2.807","2.803","2.822","2.792","-0.32%"
"Nov 23, 2022","2.816","2.840","2.860","2.816","-1.02%"
"Nov 22, 2022","2.845","2.857","2.857","2.820","0.57%"
"Nov 21, 2022","2.829","2.870","2.900","2.804","-0.14%"
"Nov 18, 2022","2.833","2.850","2.850","2.803","0.39%"
"Nov 17, 2022","2.822","2.838","2.860","2.814","-0.91%"
"Nov 16, 2022","2.848","2.861","2.861","2.808","0.78%"
"Nov 15, 2022","2.826","2.848","2.865","2.818","-0.49%"
"Nov 14, 2022","2.840","2.785","2.840","2.785","3.54%"
"Nov 11, 2022","2.743","2.700","2.743","2.686","1.22%"
"Nov 10, 2022","2.710","2.738","2.738","2.689","0.33%"
"Nov 09, 2022","2.701","2.713","2.713","2.691","-0.04%"
"Nov 08, 2022","2.702","2.745","2.745","2.699","0.11%"
"Nov 07, 2022","2.699","2.693","2.721","2.692","-0.33%"
"Nov 04, 2022","2.708","2.688","2.713","2.676","1.20%"
"Nov 03, 2022","2.676","2.684","2.712","2.672","-0.26%"
"Nov 02, 2022","2.683","2.710","2.710","2.668","0.49%"
"Nov 01, 2022","2.670","2.670","2.672","2.650","0.75%"
"Oct 31, 2022","2.650","2.710","2.710","2.636","-1.23%"
"Oct 28, 2022","2.683","2.746","2.746","2.680","-0.67%"
"Oct 27, 2022","2.701","2.778","2.778","2.696","-0.95%"
"Oct 26, 2022","2.727","2.732","2.746","2.720","-0.22%"
"Oct 25, 2022","2.733","2.737","2.737","2.721","0.29%"
"Oct 24, 2022","2.725","2.810","2.810","2.723","-0.15%"
"Oct 21, 2022","2.729","2.790","2.790","2.722","-0.26%"
"Oct 20, 2022","2.736","2.748","2.748","2.712","0.92%"
"Oct 19, 2022","2.711","2.780","2.780","2.704","0.18%"
"Oct 18, 2022","2.706","2.731","2.731","2.705","-0.15%"
"Oct 17, 2022","2.710","2.740","2.740","2.699","-0.07%"
"Oct 16, 2022","2.712","2.712","2.712","2.712","-0.09%"
"Oct 15, 2022","2.714","2.714","2.714","2.714","0.00%"
"Oct 14, 2022","2.714","2.762","2.762","2.711","-0.73%"
"Oct 13, 2022","2.734","2.763","2.763","2.728","-0.51%"
"Oct 12, 2022","2.748","2.780","2.780","2.744","-0.18%"
"Oct 11, 2022","2.753","2.791","2.791","2.738","0.11%"
"Oct 10, 2022","2.750","2.799","2.799","2.744","-0.45%"
"Oct 09, 2022","2.763","2.768","2.773","2.757","-0.40%"
"Oct 08, 2022","2.773","2.794","2.802","2.773","0.34%"
"Oct 03, 2022","2.764","2.764","2.764","2.764","-0.65%"
"Sep 30, 2022","2.782","2.790","2.790","2.758","0.91%"
"Sep 29, 2022","2.757","2.759","2.759","2.736","0.40%"
"Sep 28, 2022","2.746","2.739","2.752","2.716","1.14%"
"Sep 27, 2022","2.715","2.723","2.760","2.707","-0.29%"
"Sep 26, 2022","2.723","2.800","2.800","2.691","1.11%"
"Sep 23, 2022","2.693","2.680","2.694","2.680","0.56%"
"Sep 22, 2022","2.678","2.670","2.679","2.668","0.37%"
"Sep 21, 2022","2.668","2.665","2.670","2.663","0.11%"
"Sep 20, 2022","2.665","2.683","2.683","2.663","-0.45%"
"Sep 19, 2022","2.677","2.690","2.690","2.673","-0.30%"
"Sep 16, 2022","2.685","2.670","2.685","2.670","0.71%"
"Sep 15, 2022","2.666","2.659","2.667","2.655","0.23%"
"Sep 14, 2022","2.660","2.668","2.668","2.657","0.26%"
