"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","2.520","2.520","2.520","2.520","0.80%"
"Dec 22, 2022","2.500","2.500","2.500","2.500","-0.79%"
"Dec 21, 2022","2.520","2.520","2.520","2.520","2.44%"
"Dec 19, 2022","2.460","2.460","2.460","2.460","2.93%"
"Dec 16, 2022","2.390","2.390","2.390","2.390","0.84%"
"Dec 14, 2022","2.370","2.370","2.370","2.370","-4.05%"
"Dec 09, 2022","2.470","2.470","2.470","2.470","0.00%"
"Dec 07, 2022","2.470","2.470","2.470","2.470","-1.98%"
"Dec 06, 2022","2.520","2.520","2.520","2.520","0.00%"
"Dec 02, 2022","2.520","2.520","2.520","2.520","-3.82%"
"Nov 29, 2022","2.620","2.620","2.620","2.620","2.75%"
"Nov 25, 2022","2.550","2.550","2.550","2.550","-3.41%"
"Nov 23, 2022","2.640","2.640","2.640","2.640","-3.65%"
"Nov 21, 2022","2.740","2.740","2.740","2.740","1.86%"
"Nov 16, 2022","2.690","2.690","2.690","2.690","-8.19%"
"Nov 09, 2022","2.930","2.930","2.930","2.930","-3.93%"
"Nov 04, 2022","3.050","3.050","3.050","3.050","-5.28%"
"Nov 01, 2022","3.220","3.220","3.220","3.220","3.21%"
"Oct 12, 2022","3.120","3.120","3.120","3.120","-0.64%"
"Oct 11, 2022","3.140","3.160","3.170","3.120","5.72%"
"Oct 04, 2022","2.970","2.970","2.970","2.970","-1.66%"
"Oct 03, 2022","3.020","3.110","3.110","3.020","-2.89%"
"Sep 30, 2022","3.110","3.110","3.110","3.110","-0.32%"
"Sep 26, 2022","3.120","3.120","3.120","3.120","10.25%"
"Sep 21, 2022","2.830","2.830","2.830","2.830","-1.05%"
"Sep 20, 2022","2.860","2.830","2.860","2.830","5.93%"
"Sep 14, 2022","2.700","2.700","2.700","2.700","3.05%"
