"Date","Price","Open","High","Low","Change %"
"Dec 24, 2022","3.6710","3.6710","3.6710","3.6710","1.05%"
"Dec 23, 2022","3.6330","3.5940","3.6620","3.5770","1.11%"
"Dec 22, 2022","3.5930","3.5610","3.6510","3.5380","0.53%"
"Dec 21, 2022","3.5740","3.5960","3.6210","3.5470","-0.64%"
"Dec 20, 2022","3.5970","3.5810","3.6600","3.5260","2.71%"
"Dec 19, 2022","3.5020","3.3620","3.5050","3.3500","3.59%"
"Dec 18, 2022","3.3805","3.3805","3.3805","3.3805","1.52%"
"Dec 16, 2022","3.3300","3.2960","3.4110","3.2870","2.78%"
"Dec 15, 2022","3.2400","3.3190","3.3230","3.1990","-2.20%"
"Dec 14, 2022","3.3130","3.2620","3.3500","3.2480","0.49%"
"Dec 13, 2022","3.2970","3.1980","3.2980","3.1810","3.10%"
"Dec 12, 2022","3.1980","3.1610","3.2270","3.0960","0.47%"
"Dec 09, 2022","3.1830","3.1100","3.1840","3.0930","2.81%"
"Dec 08, 2022","3.0960","3.0430","3.1170","3.0260","1.64%"
"Dec 07, 2022","3.0460","3.0570","3.1200","3.0390","-1.14%"
"Dec 06, 2022","3.0810","3.1070","3.1250","3.0370","-0.64%"
"Dec 05, 2022","3.1010","3.1280","3.1470","3.0640","-1.46%"
"Dec 02, 2022","3.1470","3.0860","3.1770","3.0070","1.52%"
"Dec 01, 2022","3.1000","3.0840","3.1310","3.0580","-1.99%"
"Nov 30, 2022","3.1630","3.1310","3.1920","3.1030","2.00%"
"Nov 29, 2022","3.1010","3.0910","3.1540","3.0530","-0.77%"
"Nov 28, 2022","3.1250","3.0950","3.1620","3.0550","0.26%"
"Nov 25, 2022","3.1170","3.0740","3.1330","3.0420","2.70%"
"Nov 24, 2022","3.0350","2.9480","3.0410","2.8990","0.83%"
"Nov 23, 2022","3.0100","3.1480","3.1520","2.9850","-3.80%"
"Nov 22, 2022","3.1290","3.2010","3.2320","3.1260","-1.94%"
"Nov 21, 2022","3.1910","3.2410","3.2820","3.1550","-1.45%"
