"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","6.924","6.948","6.948","6.918","0.09%"
"Dec 22, 2022","6.918","6.957","6.957","6.905","-0.16%"
"Dec 21, 2022","6.929","6.918","6.951","6.918","0.33%"
"Dec 20, 2022","6.906","6.896","6.906","6.881","0.36%"
"Dec 19, 2022","6.881","6.873","6.891","6.866","-0.28%"
"Dec 16, 2022","6.900","6.865","6.903","6.863","0.60%"
"Dec 15, 2022","6.859","6.920","6.920","6.859","-0.94%"
"Dec 14, 2022","6.924","6.957","6.957","6.912","-0.35%"
"Dec 13, 2022","6.948","6.957","6.971","6.946","0.00%"
"Dec 12, 2022","6.948","6.918","6.950","6.917","-0.14%"
"Dec 09, 2022","6.958","6.946","6.958","6.917","0.07%"
"Dec 08, 2022","6.953","7.023","7.023","6.953","-0.88%"
"Dec 07, 2022","7.015","6.929","7.015","6.929","1.45%"
"Dec 06, 2022","6.915","6.891","6.925","6.891","0.44%"
"Dec 05, 2022","6.885","6.827","6.885","6.827","0.61%"
"Dec 02, 2022","6.843","6.842","6.856","6.842","-0.19%"
"Dec 01, 2022","6.856","6.964","6.964","6.854","-1.34%"
"Nov 30, 2022","6.949","6.978","7.000","6.944","-0.43%"
"Nov 29, 2022","6.979","6.977","6.984","6.977","0.17%"
"Nov 28, 2022","6.967","6.947","6.982","6.944","0.35%"
"Nov 25, 2022","6.943","6.978","6.978","6.938","-0.73%"
"Nov 24, 2022","6.994","7.022","7.029","6.978","-0.50%"
"Nov 23, 2022","7.029","7.063","7.063","7.027","-0.41%"
"Nov 22, 2022","7.058","7.081","7.097","7.058","-0.17%"
"Nov 21, 2022","7.070","7.052","7.076","7.044","0.35%"
"Nov 18, 2022","7.045","7.021","7.062","7.021","0.41%"
"Nov 17, 2022","7.016","7.000","7.016","7.000","0.19%"
"Nov 16, 2022","7.003","7.040","7.056","7.001","-0.57%"
"Nov 15, 2022","7.043","7.090","7.096","7.043","-0.82%"
"Nov 14, 2022","7.101","7.066","7.161","7.066","-1.40%"
"Nov 11, 2022","7.202","7.333","7.333","7.202","-1.64%"
"Nov 10, 2022","7.322","7.322","7.327","7.309","-0.01%"
"Nov 09, 2022","7.323","7.462","7.462","7.320","-1.88%"
"Nov 08, 2022","7.463","7.476","7.476","7.452","-0.07%"
"Nov 07, 2022","7.468","7.466","7.486","7.463","-0.19%"
"Nov 04, 2022","7.482","7.443","7.482","7.443","0.63%"
"Nov 03, 2022","7.435","7.420","7.435","7.407","-0.27%"
"Nov 02, 2022","7.455","7.535","7.535","7.442","-1.13%"
"Nov 01, 2022","7.540","7.552","7.552","7.517","-0.01%"
"Oct 31, 2022","7.541","7.512","7.558","7.512","-0.57%"
"Oct 28, 2022","7.584","7.584","7.595","7.561","0.13%"
"Oct 27, 2022","7.574","7.639","7.642","7.543","-0.82%"
"Oct 26, 2022","7.637","7.676","7.676","7.629","-0.16%"
"Oct 25, 2022","7.649","7.657","7.657","7.649","-0.07%"
"Oct 24, 2022","7.654","7.653","7.661","7.647","1.31%"
"Oct 21, 2022","7.555","7.521","7.555","7.515","0.63%"
"Oct 20, 2022","7.508","7.456","7.560","7.456","0.87%"
"Oct 19, 2022","7.443","7.457","7.457","7.418","-0.01%"
"Oct 18, 2022","7.444","7.423","7.457","7.423","0.43%"
"Oct 17, 2022","7.412","7.384","7.421","7.377","1.04%"
"Oct 14, 2022","7.336","7.380","7.400","7.321","-0.30%"
"Oct 13, 2022","7.358","7.368","7.368","7.331","0.07%"
"Oct 12, 2022","7.353","7.362","7.400","7.353","0.35%"
"Oct 11, 2022","7.327","7.294","7.339","7.294","0.67%"
"Oct 10, 2022","7.278","7.260","7.302","7.250","0.50%"
"Oct 07, 2022","7.242","7.211","7.242","7.209","0.32%"
"Oct 06, 2022","7.219","7.179","7.219","7.179","0.25%"
"Oct 05, 2022","7.201","7.291","7.291","7.185","-1.23%"
"Oct 04, 2022","7.291","7.381","7.381","7.291","-0.91%"
"Oct 03, 2022","7.358","7.381","7.381","7.355","-0.30%"
"Sep 30, 2022","7.380","7.389","7.413","7.380","-0.18%"
"Sep 29, 2022","7.393","7.423","7.423","7.321","-0.18%"
"Sep 28, 2022","7.406","7.398","7.421","7.370","0.08%"
"Sep 27, 2022","7.400","7.359","7.420","7.359","0.78%"
"Sep 26, 2022","7.343","7.318","7.374","7.318","0.95%"
"Sep 23, 2022","7.274","7.243","7.278","7.239","0.64%"
"Sep 22, 2022","7.228","7.198","7.230","7.196","0.46%"
"Sep 21, 2022","7.195","7.210","7.218","7.190","-0.04%"
"Sep 20, 2022","7.198","7.219","7.219","7.194","-0.15%"
"Sep 19, 2022","7.209","7.217","7.240","7.179","-0.07%"
"Sep 16, 2022","7.214","7.178","7.219","7.170","0.61%"
"Sep 15, 2022","7.170","7.117","7.170","7.117","0.65%"
"Sep 14, 2022","7.124","7.136","7.136","7.107","0.10%"
