"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","3.413","3.392","3.434","3.381","0.68%"
"Dec 22, 2022","3.390","3.344","3.412","3.305","1.68%"
"Dec 21, 2022","3.334","3.344","3.355","3.290","-0.80%"
"Dec 20, 2022","3.361","3.334","3.363","3.301","4.15%"
"Dec 19, 2022","3.227","3.211","3.252","3.186","1.00%"
"Dec 16, 2022","3.195","3.180","3.260","3.179","3.47%"
"Dec 15, 2022","3.088","2.929","3.120","2.870","6.89%"
"Dec 14, 2022","2.889","2.837","2.934","2.837","1.94%"
"Dec 13, 2022","2.834","2.896","2.921","2.760","-1.39%"
"Dec 12, 2022","2.874","2.855","2.886","2.812","0.52%"
"Dec 09, 2022","2.859","2.777","2.880","2.775","3.59%"
"Dec 08, 2022","2.760","2.710","2.763","2.672","2.18%"
"Dec 07, 2022","2.701","2.692","2.752","2.674","-0.92%"
"Dec 06, 2022","2.726","2.825","2.830","2.722","-2.82%"
"Dec 05, 2022","2.805","2.809","2.830","2.759","0.39%"
"Dec 02, 2022","2.794","2.753","2.806","2.692","1.38%"
"Dec 01, 2022","2.756","2.816","2.841","2.737","-5.10%"
"Nov 30, 2022","2.904","2.929","2.932","2.865","1.89%"
"Nov 29, 2022","2.850","2.870","2.906","2.811","-3.06%"
"Nov 28, 2022","2.940","2.902","2.979","2.870","1.20%"
"Nov 25, 2022","2.905","2.822","2.925","2.780","5.94%"
"Nov 24, 2022","2.742","2.823","2.824","2.726","-3.35%"
"Nov 23, 2022","2.837","2.965","2.998","2.828","-3.34%"
"Nov 22, 2022","2.935","2.981","3.002","2.910","-0.14%"
"Nov 21, 2022","2.939","2.974","3.002","2.896","0.38%"
"Nov 19, 2022","2.928","2.928","2.928","2.928","-1.58%"
"Nov 18, 2022","2.975","3.000","3.073","2.934","-0.80%"
"Nov 17, 2022","2.999","2.926","3.023","2.916","0.54%"
"Nov 16, 2022","2.983","3.096","3.098","2.958","-2.90%"
"Nov 15, 2022","3.072","3.126","3.176","3.045","-2.72%"
"Nov 14, 2022","3.158","3.153","3.163","3.093","0.10%"
"Nov 11, 2022","3.155","3.030","3.156","2.995","6.34%"
"Nov 10, 2022","2.967","3.154","3.184","2.935","-5.87%"
"Nov 09, 2022","3.152","3.218","3.241","3.151","-2.63%"
"Nov 08, 2022","3.237","3.355","3.358","3.224","-1.88%"
"Nov 07, 2022","3.299","3.338","3.343","3.248","0.37%"
"Nov 04, 2022","3.287","3.237","3.303","3.198","1.33%"
"Nov 03, 2022","3.244","3.298","3.303","3.214","2.76%"
"Nov 02, 2022","3.157","3.148","3.177","3.123","0.77%"
"Nov 01, 2022","3.133","3.135","3.150","3.033","-1.01%"
"Oct 31, 2022","3.165","3.105","3.170","3.095","2.79%"
"Oct 28, 2022","3.079","3.006","3.137","2.984","4.06%"
"Oct 27, 2022","2.959","3.191","3.253","2.959","-6.06%"
"Oct 26, 2022","3.150","3.190","3.252","3.149","-0.97%"
"Oct 25, 2022","3.181","3.271","3.287","3.181","-5.24%"
"Oct 24, 2022","3.357","3.389","3.470","3.324","-3.70%"
"Oct 21, 2022","3.486","3.522","3.581","3.461","0.93%"
"Oct 20, 2022","3.454","3.525","3.534","3.428","0.49%"
"Oct 19, 2022","3.437","3.403","3.452","3.396","2.54%"
"Oct 18, 2022","3.352","3.374","3.431","3.306","-0.18%"
"Oct 17, 2022","3.358","3.395","3.395","3.318","-2.47%"
"Oct 14, 2022","3.443","3.289","3.448","3.248","1.50%"
"Oct 13, 2022","3.392","3.458","3.512","3.315","-1.54%"
"Oct 12, 2022","3.445","3.430","3.513","3.378","1.59%"
"Oct 11, 2022","3.391","3.424","3.451","3.374","0.00%"
"Oct 10, 2022","3.391","3.329","3.424","3.260","2.26%"
"Oct 07, 2022","3.316","3.261","3.335","3.217","4.08%"
"Oct 06, 2022","3.186","3.159","3.200","3.091","1.95%"
"Oct 05, 2022","3.125","2.967","3.136","2.957","6.15%"
"Oct 04, 2022","2.944","2.913","2.944","2.830","-0.57%"
"Oct 03, 2022","2.961","3.225","3.242","2.957","-6.97%"
"Sep 30, 2022","3.183","3.209","3.232","3.148","-3.25%"
"Sep 29, 2022","3.290","3.291","3.362","3.279","1.51%"
"Sep 28, 2022","3.241","3.387","3.449","3.231","-3.46%"
"Sep 27, 2022","3.357","3.262","3.358","3.158","5.50%"
"Sep 26, 2022","3.182","3.200","3.209","3.130","2.81%"
"Sep 23, 2022","3.095","3.002","3.151","2.937","2.82%"
"Sep 22, 2022","3.010","3.004","3.020","2.873","2.28%"
"Sep 21, 2022","2.943","2.960","2.965","2.899","-1.70%"
"Sep 20, 2022","2.994","2.895","3.008","2.882","5.16%"
"Sep 19, 2022","2.847","2.816","2.887","2.814","1.99%"
"Sep 17, 2022","2.792","2.792","2.792","2.792","-1.50%"
"Sep 16, 2022","2.834","2.866","2.875","2.821","1.32%"
"Sep 15, 2022","2.797","2.823","2.832","2.771","1.45%"
"Sep 14, 2022","2.757","2.768","2.844","2.752","-0.58%"
