"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","2.877","2.803","2.879","2.797","1.05%"
"Dec 22, 2022","2.847","2.764","2.848","2.730","3.94%"
"Dec 21, 2022","2.739","2.758","2.761","2.717","-2.42%"
"Dec 20, 2022","2.807","2.745","2.807","2.723","4.31%"
"Dec 19, 2022","2.691","2.717","2.719","2.671","0.52%"
"Dec 16, 2022","2.677","2.730","2.746","2.674","3.08%"
"Dec 15, 2022","2.597","2.426","2.613","2.373","9.35%"
"Dec 14, 2022","2.375","2.368","2.400","2.362","-0.21%"
"Dec 13, 2022","2.380","2.445","2.450","2.340","-2.50%"
"Dec 12, 2022","2.441","2.387","2.442","2.385","1.29%"
"Dec 09, 2022","2.410","2.260","2.414","2.239","3.61%"
"Dec 08, 2022","2.326","2.260","2.327","2.239","3.61%"
"Dec 07, 2022","2.245","2.280","2.287","2.233","-2.31%"
"Dec 06, 2022","2.298","2.344","2.349","2.281","-1.50%"
"Dec 05, 2022","2.333","2.366","2.376","2.331","-0.26%"
"Dec 02, 2022","2.339","2.311","2.358","2.243","0.99%"
"Dec 01, 2022","2.316","2.326","2.345","2.278","-3.30%"
"Nov 30, 2022","2.395","2.392","2.402","2.359","2.00%"
"Nov 29, 2022","2.348","2.337","2.357","2.288","-2.29%"
"Nov 28, 2022","2.403","2.363","2.435","2.361","-0.54%"
"Nov 25, 2022","2.416","2.386","2.417","2.352","3.87%"
"Nov 24, 2022","2.326","2.314","2.337","2.283","-1.06%"
"Nov 23, 2022","2.351","2.360","2.388","2.344","1.29%"
"Nov 22, 2022","2.321","2.323","2.344","2.311","0.22%"
"Nov 21, 2022","2.316","2.345","2.349","2.293","-0.17%"
"Nov 19, 2022","2.320","2.320","2.320","2.320","-2.15%"
"Nov 18, 2022","2.371","2.354","2.402","2.327","0.55%"
"Nov 17, 2022","2.358","2.304","2.371","2.291","0.47%"
"Nov 16, 2022","2.347","2.381","2.388","2.328","-2.37%"
"Nov 15, 2022","2.404","2.397","2.436","2.351","-0.21%"
"Nov 14, 2022","2.409","2.412","2.421","2.339","0.54%"
"Nov 11, 2022","2.396","2.330","2.412","2.284","6.16%"
"Nov 10, 2022","2.257","2.381","2.394","2.219","-4.49%"
"Nov 09, 2022","2.363","2.413","2.417","2.362","-3.51%"
"Nov 08, 2022","2.449","2.409","2.472","2.407","1.87%"
"Nov 07, 2022","2.404","2.426","2.432","2.326","1.91%"
"Nov 04, 2022","2.359","2.324","2.364","2.280","2.30%"
"Nov 03, 2022","2.306","2.351","2.357","2.274","2.08%"
"Nov 02, 2022","2.259","2.212","2.278","2.203","3.06%"
"Nov 01, 2022","2.192","2.229","2.229","2.155","-0.50%"
"Oct 31, 2022","2.203","2.169","2.209","2.158","2.94%"
"Oct 28, 2022","2.140","2.055","2.152","2.033","6.84%"
"Oct 27, 2022","2.003","2.241","2.244","1.998","-8.83%"
"Oct 26, 2022","2.197","2.223","2.249","2.185","-0.05%"
"Oct 25, 2022","2.198","2.214","2.258","2.194","-3.72%"
"Oct 24, 2022","2.283","2.255","2.324","2.226","-1.59%"
"Oct 21, 2022","2.320","2.405","2.430","2.307","-1.19%"
"Oct 20, 2022","2.348","2.389","2.410","2.333","1.69%"
"Oct 19, 2022","2.309","2.263","2.325","2.245","3.64%"
"Oct 18, 2022","2.228","2.222","2.254","2.211","1.27%"
"Oct 17, 2022","2.200","2.195","2.223","2.173","-0.63%"
"Oct 14, 2022","2.214","2.110","2.227","2.103","2.74%"
"Oct 13, 2022","2.155","2.126","2.249","2.102","-0.32%"
"Oct 12, 2022","2.162","2.126","2.200","2.102","1.79%"
"Oct 11, 2022","2.124","2.184","2.202","2.124","-2.39%"
"Oct 10, 2022","2.176","2.199","2.218","2.116","-1.23%"
"Oct 07, 2022","2.203","2.152","2.203","2.122","4.85%"
"Oct 06, 2022","2.101","2.019","2.144","1.988","4.53%"
"Oct 05, 2022","2.010","1.937","2.038","1.934","3.72%"
"Oct 04, 2022","1.938","1.882","1.943","1.868","-0.56%"
"Oct 03, 2022","1.949","2.146","2.174","1.949","-7.76%"
"Sep 30, 2022","2.113","2.217","2.278","2.063","-2.36%"
"Sep 29, 2022","2.164","2.217","2.278","2.164","-1.05%"
"Sep 28, 2022","2.187","2.324","2.326","2.151","-4.79%"
"Sep 27, 2022","2.297","2.238","2.325","2.182","3.19%"
"Sep 26, 2022","2.226","2.229","2.302","2.184","3.29%"
"Sep 23, 2022","2.155","2.068","2.188","2.016","2.72%"
"Sep 22, 2022","2.098","2.106","2.113","2.009","5.85%"
"Sep 21, 2022","1.982","1.913","2.011","1.883","1.75%"
"Sep 20, 2022","1.948","1.858","1.978","1.827","6.51%"
"Sep 19, 2022","1.829","1.749","1.852","1.746","3.01%"
"Sep 17, 2022","1.776","1.776","1.776","1.776","-0.08%"
"Sep 16, 2022","1.777","1.787","1.842","1.757","2.66%"
"Sep 15, 2022","1.731","1.679","1.745","1.666","5.36%"
"Sep 14, 2022","1.643","1.568","1.674","1.548","3.92%"
