"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","4.926","4.936","4.936","4.926","-0.48%"
"Dec 22, 2022","4.950","4.950","4.950","4.950","-0.10%"
"Dec 21, 2022","4.955","4.955","4.955","4.955","0.00%"
"Dec 20, 2022","4.955","4.955","4.955","4.955","-0.18%"
"Dec 19, 2022","4.964","4.964","4.964","4.964","-0.10%"
"Dec 16, 2022","4.969","4.969","4.969","4.969","0.02%"
"Dec 15, 2022","4.968","4.968","4.968","4.968","-0.10%"
"Dec 14, 2022","4.973","4.973","4.973","4.973","-0.02%"
"Dec 13, 2022","4.974","4.974","4.974","4.974","0.00%"
"Dec 12, 2022","4.974","4.974","4.974","4.974","0.00%"
"Dec 09, 2022","4.974","4.974","4.974","4.974","-0.18%"
"Dec 08, 2022","4.983","4.983","4.983","4.983","-0.18%"
"Dec 07, 2022","4.992","4.992","4.992","4.992","0.02%"
"Dec 06, 2022","4.991","4.991","4.991","4.991","0.00%"
"Dec 05, 2022","4.991","4.991","4.991","4.991","-0.08%"
"Dec 02, 2022","4.995","4.995","4.995","4.995","-0.02%"
"Dec 01, 2022","4.996","4.996","4.996","4.996","0.00%"
"Nov 30, 2022","4.996","4.996","4.996","4.996","0.00%"
"Nov 29, 2022","4.996","4.996","4.996","4.996","0.10%"
"Nov 28, 2022","4.991","4.991","4.991","4.991","-0.02%"
"Nov 25, 2022","4.992","4.992","4.992","4.992","0.00%"
"Nov 24, 2022","4.992","4.992","4.992","4.992","0.00%"
"Nov 23, 2022","4.992","4.992","4.992","4.992","0.00%"
"Nov 22, 2022","4.992","4.992","4.992","4.992","-0.02%"
"Nov 21, 2022","4.993","4.993","4.993","4.993","0.00%"
"Nov 18, 2022","4.993","4.993","4.993","4.993","0.00%"
"Nov 17, 2022","4.993","4.993","4.993","4.993","0.00%"
"Nov 16, 2022","4.993","4.993","4.993","4.993","0.00%"
"Nov 15, 2022","4.993","4.993","4.993","4.993","-0.26%"
"Nov 14, 2022","5.006","5.006","5.006","5.006","-0.36%"
"Nov 11, 2022","5.024","5.024","5.024","5.024","-0.08%"
"Nov 10, 2022","5.028","5.028","5.028","5.028","-0.08%"
"Nov 09, 2022","5.032","5.032","5.032","5.032","-0.02%"
"Nov 08, 2022","5.033","5.033","5.033","5.033","-0.18%"
"Nov 07, 2022","5.042","5.042","5.042","5.042","0.18%"
"Nov 04, 2022","5.033","5.033","5.033","5.033","0.18%"
"Nov 03, 2022","5.024","5.024","5.024","5.024","0.08%"
"Nov 02, 2022","5.020","5.020","5.020","5.020","0.20%"
"Nov 01, 2022","5.010","5.010","5.010","5.010","0.02%"
"Oct 31, 2022","5.009","5.009","5.009","5.009","0.08%"
"Oct 28, 2022","5.005","5.005","5.005","5.005","-0.08%"
"Oct 27, 2022","5.009","5.009","5.009","5.009","0.36%"
"Oct 26, 2022","4.991","4.991","4.991","4.991","0.28%"
"Oct 25, 2022","4.977","4.977","4.977","4.977","1.01%"
"Oct 24, 2022","4.927","4.927","4.927","4.927","0.00%"
"Oct 21, 2022","4.927","4.927","4.927","4.927","0.63%"
"Oct 20, 2022","4.896","4.876","4.896","4.876","0.87%"
"Oct 19, 2022","4.854","4.874","4.874","4.854","-0.86%"
"Oct 18, 2022","4.896","4.896","4.896","4.896","-0.97%"
"Oct 17, 2022","4.944","4.944","4.944","4.944","-0.58%"
"Oct 14, 2022","4.973","4.973","4.973","4.973","-0.18%"
"Oct 13, 2022","4.982","4.982","4.982","4.982","-0.08%"
"Oct 12, 2022","4.986","4.986","4.986","4.986","0.81%"
"Oct 11, 2022","4.946","4.946","4.946","4.946","-0.04%"
"Oct 10, 2022","4.948","4.948","4.948","4.948","-0.56%"
"Oct 07, 2022","4.976","4.976","4.976","4.976","0.53%"
"Oct 06, 2022","4.950","4.950","4.950","4.950","0.18%"
"Oct 05, 2022","4.941","4.941","4.941","4.941","1.15%"
"Oct 04, 2022","4.885","4.885","4.885","4.885","3.50%"
"Oct 03, 2022","4.720","4.696","4.720","4.696","0.08%"
"Sep 30, 2022","4.716","4.696","4.716","4.696","0.43%"
"Sep 29, 2022","4.696","4.696","4.696","4.696","-0.40%"
"Sep 28, 2022","4.715","4.715","4.715","4.715","1.62%"
"Sep 27, 2022","4.640","4.640","4.640","4.640","7.56%"
"Sep 26, 2022","4.314","4.314","4.314","4.314","0.98%"
"Sep 23, 2022","4.272","4.272","4.272","4.272","3.82%"
"Sep 22, 2022","4.115","4.115","4.115","4.115","12.55%"
"Sep 21, 2022","3.656","3.656","3.656","3.656","9.30%"
"Sep 20, 2022","3.345","3.345","3.345","3.345","1.55%"
"Sep 19, 2022","3.294","3.294","3.294","3.294","0.55%"
"Sep 16, 2022","3.276","3.276","3.276","3.276","1.68%"
"Sep 15, 2022","3.222","3.222","3.222","3.222","-0.06%"
"Sep 14, 2022","3.224","3.224","3.224","3.224","1.16%"
