"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","5.618","5.603","5.671","5.603","0.12%"
"Dec 22, 2022","5.611","5.596","5.671","5.596","-0.14%"
"Dec 21, 2022","5.619","5.611","5.671","5.611","0.00%"
"Dec 20, 2022","5.619","5.522","5.708","5.522","0.12%"
"Dec 19, 2022","5.612","5.508","5.634","5.485","1.89%"
"Dec 16, 2022","5.508","5.530","5.708","5.508","-0.67%"
"Dec 15, 2022","5.545","5.516","5.847","5.516","0.11%"
"Dec 14, 2022","5.539","5.539","5.597","5.524","-0.52%"
"Dec 13, 2022","5.568","5.531","5.871","5.488","0.65%"
"Dec 12, 2022","5.532","5.532","5.708","5.532","-0.52%"
"Dec 09, 2022","5.561","5.562","5.708","5.496","0.25%"
"Dec 08, 2022","5.547","5.562","5.708","5.496","-0.93%"
"Dec 07, 2022","5.599","5.569","5.657","5.540","0.00%"
"Dec 06, 2022","5.599","5.563","5.817","5.563","0.00%"
"Dec 05, 2022","5.599","5.570","5.657","5.570","0.13%"
"Dec 02, 2022","5.592","5.577","5.868","5.577","1.30%"
"Dec 01, 2022","5.520","5.592","5.729","5.484","-5.09%"
"Nov 30, 2022","5.816","5.600","5.837","5.600","1.13%"
"Nov 29, 2022","5.751","5.636","5.765","5.564","0.00%"
"Nov 28, 2022","5.751","5.715","5.779","5.636","0.00%"
"Nov 25, 2022","5.751","5.794","5.851","5.636","-0.60%"
"Nov 24, 2022","5.786","5.636","5.786","5.600","-0.48%"
"Nov 23, 2022","5.814","5.707","5.957","5.565","-0.73%"
"Nov 22, 2022","5.857","5.835","5.957","5.622","-0.71%"
"Nov 21, 2022","5.899","5.672","5.956","5.672","0.73%"
"Nov 18, 2022","5.856","5.778","6.042","5.647","4.39%"
"Nov 17, 2022","5.610","5.648","5.758","5.540","-4.77%"
"Nov 16, 2022","5.891","5.806","5.991","5.778","1.96%"
"Nov 15, 2022","5.778","5.841","6.060","5.778","-1.43%"
"Nov 14, 2022","5.862","5.883","5.988","5.862","-0.59%"
"Nov 11, 2022","5.897","5.918","6.094","5.883","-0.57%"
"Nov 10, 2022","5.931","6.030","6.142","5.812","-2.18%"
"Nov 09, 2022","6.063","5.951","6.091","5.951","-0.33%"
"Nov 08, 2022","6.083","6.174","6.174","5.916","-1.79%"
"Nov 07, 2022","6.194","6.180","6.475","6.090","-0.23%"
"Nov 04, 2022","6.208","6.194","6.369","6.159","-0.10%"
"Nov 03, 2022","6.214","6.179","6.473","6.158","-0.29%"
"Nov 02, 2022","6.232","6.176","6.364","6.044","0.68%"
"Nov 01, 2022","6.190","6.238","6.363","6.155","-0.86%"
"Oct 31, 2022","6.244","6.203","6.536","6.189","1.44%"
"Oct 29, 2022","6.155","6.155","6.155","6.155","0.53%"
"Oct 28, 2022","6.123","6.122","6.188","5.813","-2.03%"
"Oct 27, 2022","6.250","6.299","6.514","6.188","1.02%"
"Oct 26, 2022","6.187","6.318","6.498","6.187","-2.03%"
"Oct 25, 2022","6.315","6.322","6.426","6.185","-3.26%"
"Oct 24, 2022","6.528","6.356","6.528","6.239","2.29%"
"Oct 21, 2022","6.382","6.245","6.520","6.163","0.44%"
"Oct 20, 2022","6.354","6.251","6.395","6.210","2.35%"
"Oct 19, 2022","6.208","6.242","6.395","6.187","0.24%"
"Oct 18, 2022","6.193","6.146","6.247","6.146","0.23%"
"Oct 17, 2022","6.179","6.233","6.247","6.111","-1.28%"
"Oct 14, 2022","6.259","6.239","6.273","6.077","-1.06%"
"Oct 13, 2022","6.326","6.055","6.411","6.055","0.68%"
"Oct 12, 2022","6.283","6.055","6.411","6.055","3.44%"
"Oct 11, 2022","6.074","6.048","6.333","6.021","0.56%"
"Oct 10, 2022","6.040","5.960","6.207","5.842","1.66%"
"Oct 08, 2022","5.942","5.942","5.942","5.942","-4.28%"
"Oct 07, 2022","6.207","5.973","6.274","5.940","1.65%"
"Oct 06, 2022","6.106","6.026","6.273","5.973","-0.18%"
"Oct 05, 2022","6.117","6.018","6.270","6.018","1.21%"
"Oct 04, 2022","6.044","6.123","6.183","5.991","-0.85%"
"Oct 03, 2022","6.096","6.255","6.349","6.037","-1.80%"
"Sep 30, 2022","6.208","6.135","6.314","6.023","-0.74%"
"Sep 29, 2022","6.254","6.135","6.300","6.049","2.36%"
"Sep 28, 2022","6.110","6.061","6.110","6.048","-0.59%"
"Sep 27, 2022","6.146","6.133","6.225","6.100","0.75%"
"Sep 26, 2022","6.100","6.100","6.224","6.067","1.09%"
"Sep 23, 2022","6.034","6.034","6.092","6.001","-0.10%"
"Sep 22, 2022","6.040","5.929","6.079","5.929","0.89%"
"Sep 21, 2022","5.987","6.051","6.058","5.903","-0.94%"
"Sep 20, 2022","6.044","5.903","6.057","5.903","0.65%"
"Sep 19, 2022","6.005","5.902","6.031","5.902","2.30%"
"Sep 16, 2022","5.870","5.973","6.050","5.742","-0.54%"
"Sep 15, 2022","5.902","5.966","6.030","5.838","-2.11%"
"Sep 14, 2022","6.029","5.952","6.035","5.838","0.53%"
