"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","2.835","2.768","2.862","2.680","2.37%"
"Dec 22, 2022","2.769","2.614","2.844","2.609","2.59%"
"Dec 21, 2022","2.699","2.658","2.708","2.538","1.33%"
"Dec 20, 2022","2.664","2.639","2.702","2.539","2.75%"
"Dec 19, 2022","2.592","2.643","2.665","2.512","0.27%"
"Dec 16, 2022","2.585","2.514","2.658","2.421","5.87%"
"Dec 15, 2022","2.442","2.363","2.551","2.209","10.36%"
"Dec 14, 2022","2.213","2.167","2.284","2.112","0.04%"
"Dec 13, 2022","2.212","2.232","2.358","2.151","-3.64%"
"Dec 12, 2022","2.296","2.172","2.329","2.170","4.40%"
"Dec 09, 2022","2.199","2.132","2.291","2.132","4.61%"
"Dec 08, 2022","2.102","2.124","2.217","2.037","-0.57%"
"Dec 07, 2022","2.114","2.121","2.170","2.033","-2.33%"
"Dec 06, 2022","2.164","2.260","2.263","2.095","-0.12%"
"Dec 05, 2022","2.167","2.134","2.286","2.120","1.20%"
"Dec 02, 2022","2.141","2.113","2.230","2.012","-0.33%"
"Dec 01, 2022","2.148","2.234","2.248","2.059","-1.99%"
"Nov 30, 2022","2.192","2.296","2.354","2.180","-1.35%"
"Nov 29, 2022","2.222","2.233","2.339","2.142","-4.84%"
"Nov 28, 2022","2.335","2.282","2.435","2.247","-1.81%"
"Nov 25, 2022","2.378","2.267","2.429","2.228","5.27%"
"Nov 24, 2022","2.259","2.215","2.322","2.134","0.53%"
"Nov 23, 2022","2.247","2.286","2.422","2.224","-0.40%"
"Nov 22, 2022","2.256","2.186","2.440","2.184","1.94%"
"Nov 21, 2022","2.213","2.237","2.398","2.176","-4.07%"
"Nov 18, 2022","2.307","2.341","2.447","2.188","0.92%"
"Nov 17, 2022","2.286","2.230","2.390","2.168","2.42%"
"Nov 16, 2022","2.232","2.309","2.405","2.199","-1.85%"
"Nov 15, 2022","2.274","2.302","2.392","2.200","-1.22%"
"Nov 14, 2022","2.302","2.258","2.391","2.219","1.37%"
"Nov 11, 2022","2.271","2.162","2.374","2.120","6.67%"
"Nov 10, 2022","2.129","2.180","2.356","2.043","-2.34%"
"Nov 09, 2022","2.180","2.282","2.332","2.180","-5.67%"
"Nov 08, 2022","2.311","2.313","2.394","2.225","2.30%"
"Nov 07, 2022","2.259","2.287","2.331","2.185","1.76%"
"Nov 04, 2022","2.220","2.159","2.318","2.096","0.95%"
"Nov 03, 2022","2.199","2.136","2.271","2.100","4.71%"
"Nov 02, 2022","2.100","2.014","2.144","1.977","3.40%"
"Nov 01, 2022","2.031","2.031","2.102","1.903","-1.22%"
"Oct 31, 2022","2.056","2.055","2.129","1.955","5.17%"
"Oct 28, 2022","1.955","1.871","2.135","1.813","5.50%"
"Oct 27, 2022","1.853","2.047","2.139","1.834","-5.89%"
"Oct 26, 2022","1.969","1.933","2.050","1.909","-1.30%"
"Oct 25, 2022","1.995","1.998","2.111","1.972","-2.92%"
"Oct 24, 2022","2.055","1.947","2.142","1.917","0.39%"
"Oct 21, 2022","2.047","2.193","2.311","2.039","-3.53%"
"Oct 20, 2022","2.122","2.098","2.245","2.066","0.66%"
"Oct 19, 2022","2.108","2.029","2.199","2.021","5.03%"
"Oct 18, 2022","2.007","2.001","2.110","1.954","-2.34%"
"Oct 17, 2022","2.055","1.973","2.099","1.906","4.71%"
"Oct 16, 2022","1.962","1.962","1.962","1.962","-2.94%"
"Oct 14, 2022","2.022","1.957","2.073","1.863","0.05%"
"Oct 13, 2022","2.021","1.946","2.134","1.863","1.56%"
"Oct 12, 2022","1.990","1.960","2.074","1.882","1.48%"
"Oct 11, 2022","1.961","1.975","2.057","1.884","-3.06%"
"Oct 10, 2022","2.023","1.963","2.088","1.834","1.51%"
"Oct 07, 2022","1.993","1.963","2.036","1.866","5.90%"
"Oct 06, 2022","1.882","1.817","1.984","1.776","2.95%"
"Oct 05, 2022","1.828","1.691","1.843","1.667","6.28%"
"Oct 04, 2022","1.720","1.727","1.762","1.543","-2.44%"
"Oct 03, 2022","1.763","1.923","1.967","1.680","-8.13%"
"Sep 30, 2022","1.919","1.926","1.960","1.768","1.91%"
"Sep 29, 2022","1.883","1.982","2.097","1.854","-2.59%"
"Sep 28, 2022","1.933","2.045","2.114","1.867","-5.29%"
"Sep 27, 2022","2.041","2.024","2.105","1.872","-1.31%"
"Sep 26, 2022","2.068","2.013","2.138","1.944","2.94%"
"Sep 23, 2022","2.009","1.857","2.110","1.817","3.08%"
"Sep 22, 2022","1.949","1.938","1.997","1.802","8.94%"
"Sep 21, 2022","1.789","1.707","1.872","1.674","2.52%"
"Sep 20, 2022","1.745","1.646","1.872","1.633","2.23%"
"Sep 19, 2022","1.707","1.561","1.707","1.534","11.42%"
"Sep 17, 2022","1.532","1.532","1.532","1.532","-5.37%"
"Sep 16, 2022","1.619","1.613","1.700","1.551","3.65%"
"Sep 15, 2022","1.562","1.546","1.638","1.453","7.72%"
"Sep 14, 2022","1.450","1.404","1.561","1.370","-2.03%"
