"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","1.600","1.600","1.600","1.600","0.00%"
"Dec 22, 2022","1.600","1.600","1.600","1.600","-1.23%"
"Dec 21, 2022","1.620","1.620","1.620","1.620","0.62%"
"Dec 19, 2022","1.610","1.610","1.610","1.610","1.26%"
"Dec 16, 2022","1.590","1.590","1.590","1.590","0.00%"
"Dec 14, 2022","1.590","1.590","1.590","1.590","-4.22%"
"Dec 09, 2022","1.660","1.660","1.660","1.660","0.00%"
"Dec 07, 2022","1.660","1.660","1.660","1.660","1.84%"
"Dec 06, 2022","1.630","1.630","1.630","1.630","-1.21%"
"Dec 02, 2022","1.650","1.650","1.650","1.650","-1.79%"
"Nov 29, 2022","1.680","1.680","1.680","1.680","-2.33%"
"Nov 25, 2022","1.720","1.720","1.720","1.720","1.18%"
"Nov 23, 2022","1.700","1.700","1.700","1.700","0.00%"
"Nov 21, 2022","1.700","1.700","1.700","1.700","0.00%"
"Nov 16, 2022","1.700","1.700","1.700","1.700","0.59%"
"Nov 09, 2022","1.690","1.690","1.690","1.690","-1.74%"
"Nov 04, 2022","1.720","1.720","1.720","1.720","-2.82%"
"Nov 01, 2022","1.770","1.770","1.770","1.770","-3.80%"
"Oct 12, 2022","1.840","1.840","1.840","1.840","-0.54%"
"Oct 11, 2022","1.850","1.850","1.850","1.850","1.65%"
"Oct 04, 2022","1.820","1.820","1.820","1.820","-2.67%"
"Oct 03, 2022","1.870","1.870","1.870","1.870","-1.58%"
"Sep 30, 2022","1.900","1.900","1.900","1.900","4.97%"
"Sep 26, 2022","1.810","1.810","1.810","1.810","8.38%"
"Sep 21, 2022","1.670","1.670","1.670","1.670","0.00%"
"Sep 20, 2022","1.670","1.670","1.670","1.670","0.60%"
"Sep 14, 2022","1.660","1.660","1.660","1.660","5.06%"
