"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","3.935","3.837","3.937","3.820","3.04%"
"Dec 22, 2022","3.819","3.745","3.924","3.718","2.39%"
"Dec 21, 2022","3.730","3.690","3.749","3.659","0.48%"
"Dec 20, 2022","3.712","3.688","3.728","3.672","1.20%"
"Dec 19, 2022","3.668","3.676","3.693","3.632","0.03%"
"Dec 16, 2022","3.667","3.704","3.737","3.639","-0.78%"
"Dec 15, 2022","3.696","3.731","3.761","3.664","-0.56%"
"Dec 14, 2022","3.717","3.772","3.772","3.672","-1.17%"
"Dec 13, 2022","3.761","3.876","3.941","3.722","-3.22%"
"Dec 12, 2022","3.886","3.862","3.893","3.726","0.91%"
"Dec 09, 2022","3.851","3.798","3.854","3.781","0.65%"
"Dec 08, 2022","3.826","3.774","3.849","3.774","1.38%"
"Dec 07, 2022","3.774","3.801","3.855","3.716","-0.42%"
"Dec 06, 2022","3.790","3.825","3.825","3.654","-0.60%"
"Dec 05, 2022","3.813","3.779","3.829","3.691","1.41%"
"Dec 02, 2022","3.760","3.803","3.933","3.668","-0.92%"
"Dec 01, 2022","3.795","3.883","3.899","3.789","-2.04%"
"Nov 30, 2022","3.874","3.946","4.028","3.874","-2.15%"
"Nov 29, 2022","3.959","3.921","3.974","3.895","1.31%"
"Nov 28, 2022","3.908","3.904","3.942","3.883","0.26%"
"Nov 25, 2022","3.898","3.898","3.938","3.871","0.21%"
"Nov 24, 2022","3.890","3.930","3.974","3.880","-0.92%"
"Nov 23, 2022","3.926","3.929","3.963","3.915","-0.05%"
"Nov 22, 2022","3.928","3.954","3.954","3.884","-0.38%"
"Nov 21, 2022","3.943","3.962","3.985","3.924","-0.78%"
"Nov 18, 2022","3.974","3.955","3.984","3.879","1.07%"
"Nov 17, 2022","3.932","3.861","3.953","3.860","1.94%"
"Nov 16, 2022","3.857","3.869","3.892","3.771","0.36%"
"Nov 15, 2022","3.843","3.883","4.049","3.811","-0.67%"
"Nov 14, 2022","3.869","3.834","3.910","3.834","1.10%"
"Nov 10, 2022","3.827","4.114","4.114","3.714","-6.70%"
"Nov 09, 2022","4.102","4.188","4.208","4.088","-1.16%"
"Nov 08, 2022","4.150","4.188","4.208","4.139","-0.86%"
"Nov 07, 2022","4.186","4.142","4.332","4.119","1.09%"
"Nov 04, 2022","4.141","4.084","4.209","4.080","1.87%"
"Nov 03, 2022","4.065","3.954","4.078","3.954","2.94%"
"Nov 02, 2022","3.949","3.921","3.961","3.842","1.07%"
"Nov 01, 2022","3.907","3.925","3.925","3.841","0.28%"
"Oct 31, 2022","3.896","3.849","3.930","3.848","1.17%"
"Oct 28, 2022","3.851","3.806","3.878","3.806","1.00%"
"Oct 27, 2022","3.813","3.888","3.893","3.792","-1.83%"
"Oct 26, 2022","3.884","4.165","4.183","3.869","-6.70%"
"Oct 25, 2022","4.163","4.168","4.168","4.129","-0.10%"
"Oct 24, 2022","4.167","4.191","4.191","4.120","-0.45%"
"Oct 21, 2022","4.186","4.303","4.319","4.161","-2.45%"
"Oct 20, 2022","4.291","4.209","4.325","4.178","2.24%"
"Oct 19, 2022","4.197","4.036","4.204","4.036","4.04%"
"Oct 18, 2022","4.034","4.124","4.124","4.022","-2.13%"
"Oct 17, 2022","4.122","4.177","4.177","4.089","-1.29%"
"Oct 14, 2022","4.176","4.100","4.176","4.053","1.51%"
"Oct 13, 2022","4.114","4.074","4.186","4.028","1.83%"
"Oct 12, 2022","4.040","4.130","4.153","4.034","-1.54%"
"Oct 11, 2022","4.103","4.083","4.132","4.038","1.21%"
"Oct 07, 2022","4.054","4.001","4.084","4.001","0.90%"
"Oct 06, 2022","4.018","3.895","4.170","3.885","3.93%"
"Oct 05, 2022","3.866","3.769","3.902","3.756","2.60%"
"Oct 04, 2022","3.768","3.763","3.788","3.662","0.16%"
"Oct 03, 2022","3.762","3.808","3.822","3.684","-0.95%"
"Sep 29, 2022","3.798","3.847","3.863","3.749","1.04%"
"Sep 28, 2022","3.759","3.895","3.923","3.719","-3.32%"
"Sep 27, 2022","3.888","3.805","3.927","3.753","1.14%"
"Sep 26, 2022","3.844","3.809","3.885","3.782","1.21%"
"Sep 23, 2022","3.798","3.807","3.873","3.716","0.48%"
"Sep 22, 2022","3.780","3.791","3.874","3.772","0.11%"
"Sep 21, 2022","3.776","3.790","3.847","3.728","-0.32%"
"Sep 20, 2022","3.788","3.826","3.880","3.732","-1.07%"
"Sep 19, 2022","3.829","3.815","3.852","3.645","0.39%"
"Sep 16, 2022","3.814","3.845","3.870","3.786","-0.03%"
"Sep 15, 2022","3.815","3.796","3.857","3.776","1.46%"
"Sep 14, 2022","3.760","3.748","3.816","3.591","1.16%"
