"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","2.646","2.552","2.647","2.551","3.24%"
"Dec 22, 2022","2.563","2.547","2.594","2.519","1.67%"
"Dec 21, 2022","2.521","2.508","2.525","2.490","0.20%"
"Dec 20, 2022","2.516","2.496","2.516","2.456","2.78%"
"Dec 19, 2022","2.448","2.454","2.454","2.412","0.12%"
"Dec 16, 2022","2.445","2.453","2.503","2.373","2.77%"
"Dec 15, 2022","2.379","2.207","2.432","2.136","11.27%"
"Dec 14, 2022","2.138","2.141","2.164","2.105","0.00%"
"Dec 13, 2022","2.138","2.220","2.236","2.081","-2.82%"
"Dec 12, 2022","2.200","2.156","2.200","2.141","2.28%"
"Dec 09, 2022","2.151","2.083","2.168","2.070","4.11%"
"Dec 08, 2022","2.066","2.007","2.066","1.989","2.58%"
"Dec 07, 2022","2.014","2.038","2.042","1.992","-2.00%"
"Dec 06, 2022","2.055","2.142","2.168","2.035","-3.34%"
"Dec 05, 2022","2.126","2.121","2.157","2.083","0.57%"
"Dec 02, 2022","2.114","2.088","2.121","1.958","3.98%"
"Dec 01, 2022","2.033","2.071","2.115","1.996","-4.96%"
"Nov 30, 2022","2.139","2.141","2.173","2.036","2.00%"
"Nov 29, 2022","2.097","2.141","2.146","2.036","-3.85%"
"Nov 28, 2022","2.181","2.170","2.224","2.142","-0.50%"
"Nov 25, 2022","2.192","2.103","2.208","2.103","4.18%"
"Nov 24, 2022","2.104","2.152","2.152","2.036","-1.87%"
"Nov 23, 2022","2.144","2.139","2.189","2.112","1.90%"
"Nov 22, 2022","2.104","2.091","2.134","2.085","1.35%"
"Nov 21, 2022","2.076","2.091","2.128","2.041","-0.22%"
"Nov 19, 2022","2.080","2.080","2.080","2.080","-0.74%"
"Nov 18, 2022","2.096","2.128","2.189","2.059","-1.87%"
"Nov 17, 2022","2.136","2.095","2.148","2.037","0.95%"
"Nov 16, 2022","2.116","2.165","2.206","2.099","-1.95%"
"Nov 15, 2022","2.158","2.177","2.203","2.108","1.70%"
"Nov 14, 2022","2.122","2.147","2.152","2.059","-0.61%"
"Nov 11, 2022","2.135","2.020","2.148","2.003","8.05%"
"Nov 10, 2022","1.976","2.121","2.166","1.921","-6.84%"
"Nov 09, 2022","2.121","2.185","2.197","2.097","-3.81%"
"Nov 08, 2022","2.205","2.211","2.252","2.174","0.64%"
"Nov 07, 2022","2.191","2.120","2.194","2.111","2.53%"
"Nov 04, 2022","2.137","2.085","2.172","2.038","2.00%"
"Nov 03, 2022","2.095","2.084","2.120","2.017","6.08%"
"Nov 02, 2022","1.975","1.947","1.995","1.924","1.75%"
"Nov 01, 2022","1.941","1.919","1.957","1.835","-0.41%"
"Oct 31, 2022","1.949","1.961","1.984","1.913","1.46%"
"Oct 28, 2022","1.921","1.793","2.000","1.758","6.90%"
"Oct 27, 2022","1.797","1.983","2.036","1.769","-7.75%"
"Oct 26, 2022","1.948","1.993","2.024","1.933","-0.56%"
"Oct 25, 2022","1.959","1.991","2.021","1.942","-2.25%"
"Oct 24, 2022","2.004","1.936","2.058","1.918","-1.76%"
"Oct 21, 2022","2.040","2.147","2.220","2.025","-2.81%"
"Oct 20, 2022","2.099","2.119","2.179","2.079","1.01%"
"Oct 19, 2022","2.078","1.979","2.120","1.978","5.54%"
"Oct 18, 2022","1.969","1.930","2.014","1.914","0.66%"
"Oct 17, 2022","1.956","1.920","1.966","1.866","-0.15%"
"Oct 14, 2022","1.959","1.871","1.967","1.801","2.57%"
"Oct 13, 2022","1.910","1.838","1.970","1.789","2.19%"
"Oct 12, 2022","1.869","1.854","1.926","1.796","1.30%"
"Oct 11, 2022","1.845","1.913","1.949","1.828","-3.00%"
"Oct 10, 2022","1.902","1.848","1.952","1.758","1.77%"
"Oct 07, 2022","1.869","1.805","1.889","1.784","4.47%"
"Oct 06, 2022","1.789","1.671","1.807","1.665","7.97%"
"Oct 05, 2022","1.657","1.572","1.679","1.526","5.54%"
"Oct 04, 2022","1.570","1.575","1.586","1.444","-1.63%"
"Oct 03, 2022","1.596","1.805","1.805","1.596","-10.24%"
"Sep 30, 2022","1.778","1.806","1.806","1.699","-2.68%"
"Sep 29, 2022","1.827","1.943","1.963","1.827","-1.24%"
"Sep 28, 2022","1.850","1.975","2.008","1.786","-6.99%"
"Sep 27, 2022","1.989","1.978","1.990","1.827","2.47%"
"Sep 26, 2022","1.941","1.915","2.031","1.915","1.78%"
"Sep 23, 2022","1.907","1.855","2.009","1.792","3.36%"
"Sep 22, 2022","1.845","1.758","1.897","1.755","5.73%"
"Sep 21, 2022","1.745","1.709","1.767","1.626","1.51%"
"Sep 20, 2022","1.719","1.602","1.749","1.602","7.30%"
"Sep 19, 2022","1.602","1.531","1.617","1.507","5.71%"
"Sep 17, 2022","1.515","1.515","1.515","1.515","-2.10%"
"Sep 16, 2022","1.548","1.554","1.620","1.529","1.24%"
"Sep 15, 2022","1.529","1.415","1.539","1.415","8.67%"
"Sep 14, 2022","1.407","1.393","1.483","1.355","1.66%"
