"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","2.618","2.537","2.626","2.533","2.65%"
"Dec 22, 2022","2.550","2.524","2.593","2.494","2.08%"
"Dec 21, 2022","2.499","2.498","2.516","2.450","-0.34%"
"Dec 20, 2022","2.507","2.486","2.511","2.450","3.13%"
"Dec 19, 2022","2.431","2.416","2.442","2.385","0.96%"
"Dec 16, 2022","2.408","2.457","2.480","2.394","3.56%"
"Dec 15, 2022","2.325","2.137","2.400","2.099","11.29%"
"Dec 14, 2022","2.089","2.089","2.154","2.053","-0.40%"
"Dec 13, 2022","2.098","2.178","2.207","2.029","-3.06%"
"Dec 12, 2022","2.164","2.127","2.194","2.086","3.31%"
"Dec 09, 2022","2.095","1.973","2.164","1.959","4.92%"
"Dec 08, 2022","1.996","1.973","2.044","1.959","0.38%"
"Dec 07, 2022","1.989","1.969","2.031","1.948","-1.56%"
"Dec 06, 2022","2.020","2.087","2.095","1.984","-2.55%"
"Dec 05, 2022","2.073","2.073","2.099","1.997","1.79%"
"Dec 02, 2022","2.037","1.969","2.060","1.881","4.34%"
"Dec 01, 2022","1.952","1.995","2.035","1.926","-5.14%"
"Nov 30, 2022","2.058","2.084","2.120","2.041","0.43%"
"Nov 29, 2022","2.049","2.033","2.066","1.962","-3.70%"
"Nov 28, 2022","2.128","2.086","2.173","2.060","0.15%"
"Nov 25, 2022","2.124","2.082","2.148","2.036","5.10%"
"Nov 24, 2022","2.021","1.994","2.024","1.941","-1.86%"
"Nov 23, 2022","2.060","2.067","2.123","2.012","1.82%"
"Nov 22, 2022","2.023","2.048","2.085","2.002","0.05%"
"Nov 21, 2022","2.022","2.060","2.102","1.984","-1.27%"
"Nov 18, 2022","2.048","2.089","2.170","2.007","-2.06%"
"Nov 17, 2022","2.091","2.013","2.119","1.989","1.16%"
"Nov 16, 2022","2.067","2.145","2.189","2.044","-2.23%"
"Nov 15, 2022","2.114","2.108","2.159","2.055","0.27%"
"Nov 14, 2022","2.109","2.131","2.162","2.052","-0.34%"
"Nov 11, 2022","2.116","2.034","2.149","2.024","7.02%"
"Nov 10, 2022","1.977","2.128","2.158","1.911","-5.76%"
"Nov 09, 2022","2.098","2.138","2.209","2.091","-4.09%"
"Nov 08, 2022","2.187","2.192","2.272","2.160","0.35%"
"Nov 07, 2022","2.180","2.144","2.193","2.090","2.85%"
"Nov 04, 2022","2.119","2.086","2.177","2.024","2.07%"
"Nov 03, 2022","2.077","2.080","2.146","2.006","4.66%"
"Nov 02, 2022","1.984","1.931","1.999","1.930","2.50%"
"Nov 01, 2022","1.936","1.933","1.982","1.829","0.12%"
"Oct 31, 2022","1.934","1.927","2.002","1.907","0.31%"
"Oct 28, 2022","1.928","1.823","2.008","1.793","9.42%"
"Oct 27, 2022","1.762","1.997","2.069","1.758","-9.92%"
"Oct 26, 2022","1.956","1.984","2.056","1.932","0.06%"
"Oct 25, 2022","1.954","1.938","2.045","1.938","-2.25%"
"Oct 24, 2022","1.999","1.958","2.075","1.944","-1.67%"
"Oct 21, 2022","2.033","2.145","2.238","2.022","-3.37%"
"Oct 20, 2022","2.104","2.141","2.199","2.075","1.05%"
"Oct 19, 2022","2.082","2.016","2.123","1.998","6.39%"
"Oct 18, 2022","1.957","1.950","2.046","1.921","0.42%"
"Oct 17, 2022","1.949","1.897","1.978","1.862","-0.25%"
"Oct 14, 2022","1.954","1.813","1.968","1.798","3.32%"
"Oct 13, 2022","1.891","1.823","1.976","1.775","1.25%"
"Oct 12, 2022","1.868","1.823","1.929","1.787","2.49%"
"Oct 11, 2022","1.823","1.888","1.950","1.817","-3.41%"
"Oct 10, 2022","1.887","1.854","1.955","1.742","2.26%"
"Oct 07, 2022","1.845","1.849","1.905","1.783","4.18%"
"Oct 06, 2022","1.771","1.680","1.808","1.667","7.25%"
"Oct 05, 2022","1.651","1.572","1.698","1.560","6.04%"
"Oct 04, 2022","1.558","1.492","1.599","1.435","-1.56%"
"Oct 03, 2022","1.582","1.765","1.785","1.555","-8.45%"
"Sep 30, 2022","1.728","1.697","1.784","1.642","-2.29%"
"Sep 29, 2022","1.769","1.840","1.926","1.762","-2.58%"
"Sep 28, 2022","1.816","1.960","1.997","1.735","-6.40%"
"Sep 27, 2022","1.940","1.926","1.960","1.792","2.07%"
"Sep 26, 2022","1.900","1.980","2.004","1.872","1.36%"
"Sep 23, 2022","1.875","1.793","1.977","1.742","4.05%"
"Sep 22, 2022","1.802","1.847","1.862","1.737","5.26%"
"Sep 21, 2022","1.712","1.639","1.762","1.580","1.88%"
"Sep 20, 2022","1.680","1.592","1.717","1.575","7.42%"
"Sep 19, 2022","1.564","1.482","1.582","1.459","5.89%"
"Sep 16, 2022","1.477","1.559","1.585","1.470","0.17%"
"Sep 15, 2022","1.475","1.451","1.512","1.388","7.06%"
"Sep 14, 2022","1.377","1.366","1.441","1.330","2.06%"
