"Date","Price","Open","High","Low","Change %"
"Dec 25, 2022","3.6655","3.6655","3.6655","3.6655","0.00%"
"Dec 24, 2022","3.6655","3.6655","3.6655","3.6655","0.78%"
"Dec 23, 2022","3.6370","3.5980","3.6880","3.5980","0.55%"
"Dec 22, 2022","3.6170","3.6510","3.7200","3.6000","-1.42%"
"Dec 21, 2022","3.6690","3.6670","3.7100","3.6360","-0.22%"
"Dec 20, 2022","3.6770","3.7470","3.7990","3.6730","0.41%"
"Dec 19, 2022","3.6620","3.4900","3.6640","3.4790","4.57%"
"Dec 18, 2022","3.5020","3.5020","3.5020","3.5020","1.10%"
"Dec 17, 2022","3.4640","3.4640","3.4640","3.4640","-0.17%"
"Dec 16, 2022","3.4700","3.4330","3.5540","3.4220","2.51%"
"Dec 15, 2022","3.3850","3.4390","3.4440","3.3300","-1.54%"
"Dec 14, 2022","3.4380","3.4750","3.5140","3.2980","-2.02%"
"Dec 13, 2022","3.5090","3.4790","3.5190","3.4210","1.15%"
"Dec 12, 2022","3.4690","3.3850","3.5110","3.3640","1.82%"
"Dec 09, 2022","3.4070","3.3190","3.4080","3.3170","2.65%"
"Dec 08, 2022","3.3190","3.2340","3.3230","3.2210","2.34%"
"Dec 07, 2022","3.2430","3.2260","3.3380","3.2230","-0.40%"
"Dec 06, 2022","3.2560","3.3020","3.3520","3.2000","-1.60%"
"Dec 05, 2022","3.3090","3.3000","3.3480","3.2630","-0.09%"
"Dec 02, 2022","3.3120","3.2210","3.3470","3.1700","2.29%"
"Dec 01, 2022","3.2380","3.1800","3.2760","3.1800","-1.28%"
"Nov 30, 2022","3.2800","3.2490","3.4980","3.2320","1.52%"
"Nov 29, 2022","3.2310","3.2290","3.4800","3.2000","-1.55%"
"Nov 28, 2022","3.2820","3.2310","3.3540","3.2020","0.08%"
"Nov 27, 2022","3.2795","3.2795","3.2795","3.2795","0.14%"
"Nov 26, 2022","3.2750","3.2750","3.2750","3.2750","0.34%"
"Nov 25, 2022","3.2640","3.2350","3.3420","3.2000","2.16%"
"Nov 24, 2022","3.1950","3.0320","3.2020","3.0180","2.60%"
"Nov 23, 2022","3.1140","3.1350","3.1850","3.0900","-0.35%"
"Nov 22, 2022","3.1250","3.1780","3.2500","3.1220","-2.77%"
"Nov 21, 2022","3.2140","3.1790","3.3790","3.1600","0.97%"
"Nov 18, 2022","3.1830","3.0880","3.4610","3.0830","2.74%"
"Nov 17, 2022","3.0980","2.9410","3.1590","2.9250","3.61%"
"Nov 16, 2022","2.9900","3.0910","3.1920","2.9550","-4.78%"
"Nov 15, 2022","3.1400","3.1050","3.2430","3.0830","0.87%"
"Nov 14, 2022","3.1130","3.1380","3.3450","3.0580","-0.45%"
"Nov 11, 2022","3.1270","3.1140","3.2420","3.0600","1.36%"
"Nov 10, 2022","3.0850","3.2190","3.4640","3.0340","-4.13%"
"Nov 09, 2022","3.2180","3.2580","3.2990","3.1970","-0.40%"
"Nov 08, 2022","3.2310","3.2140","3.2870","3.1710","0.78%"
"Nov 07, 2022","3.2060","3.0590","3.2180","2.9990","4.87%"
"Nov 04, 2022","3.0570","3.0540","3.1250","3.0140","-0.62%"
"Nov 03, 2022","3.0760","3.0710","3.2570","2.8980","1.85%"
"Nov 02, 2022","3.0200","3.2490","3.4240","3.0190","-4.43%"
"Nov 01, 2022","3.1600","3.2490","3.3090","3.1490","-3.48%"
"Oct 31, 2022","3.2740","3.2140","3.3300","3.2040","1.46%"
"Oct 28, 2022","3.2270","3.1440","3.2970","3.1060","4.64%"
"Oct 27, 2022","3.0840","3.2750","3.3240","3.0840","-5.83%"
"Oct 26, 2022","3.2750","3.5320","3.5320","3.2240","-1.47%"
"Oct 25, 2022","3.3240","3.4110","3.4670","3.3070","-2.49%"
"Oct 24, 2022","3.4090","3.6050","3.6070","3.3830","-7.62%"
"Oct 21, 2022","3.6900","3.8240","3.9020","3.6550","3.65%"
"Oct 20, 2022","3.5600","3.7050","3.7310","3.4080","2.74%"
"Oct 19, 2022","3.4650","3.7950","3.7950","3.4470","-2.31%"
"Oct 18, 2022","3.5470","3.7210","3.7350","3.5170","-0.34%"
"Oct 17, 2022","3.5590","3.9470","3.9470","3.5300","-8.20%"
"Oct 14, 2022","3.8770","3.5570","3.9940","3.5470","2.32%"
"Oct 13, 2022","3.7890","3.9640","4.0300","3.6690","-5.51%"
"Oct 12, 2022","4.0100","4.3880","4.4090","3.9970","-4.09%"
"Oct 11, 2022","4.1810","4.4340","4.4340","4.1810","-3.95%"
"Oct 10, 2022","4.3530","4.1750","4.4990","4.1680","7.11%"
"Oct 07, 2022","4.0640","4.1760","4.1840","4.0640","-1.00%"
"Oct 06, 2022","4.1050","4.0440","4.2340","4.0250","2.83%"
"Oct 05, 2022","3.9920","4.0500","4.1070","3.9420","2.73%"
"Oct 04, 2022","3.8860","3.9550","4.0180","3.7510","-2.90%"
"Oct 03, 2022","4.0020","4.3800","4.3800","3.9670","-6.95%"
"Sep 30, 2022","4.3010","4.2860","4.4030","4.0660","-1.10%"
"Sep 29, 2022","4.3490","4.3530","4.6200","4.3040","2.47%"
"Sep 28, 2022","4.2440","4.6220","4.7100","4.2440","-10.03%"
"Sep 27, 2022","4.7170","4.4450","4.7610","4.2150","5.01%"
"Sep 26, 2022","4.4920","4.1490","4.5730","4.1420","14.83%"
"Sep 23, 2022","3.9120","3.5350","4.0050","3.4820","11.80%"
"Sep 22, 2022","3.4990","3.4040","3.5730","3.3670","2.19%"
"Sep 21, 2022","3.4240","3.2980","3.4240","3.2730","4.01%"
"Sep 20, 2022","3.2920","3.1680","3.3560","3.1680","5.18%"
"Sep 19, 2022","3.1300","3.1300","3.1325","3.1295","1.10%"
"Sep 16, 2022","3.0960","3.1230","3.1610","3.0760","-0.32%"
"Sep 15, 2022","3.1060","3.1200","3.1620","3.0210","-0.38%"
"Sep 14, 2022","3.1180","3.0640","3.1430","3.0370","0.10%"
