"Date","Price","Open","High","Low","Change %"
"Dec 25, 2022","3.286","3.286","3.286","3.286","0.00%"
"Dec 24, 2022","3.286","3.286","3.286","3.286","-0.54%"
"Dec 23, 2022","3.304","3.256","3.308","3.256","1.69%"
"Dec 22, 2022","3.249","3.213","3.262","3.193","0.99%"
"Dec 21, 2022","3.217","3.258","3.282","3.204","-3.19%"
"Dec 20, 2022","3.323","3.209","3.342","3.203","5.12%"
"Dec 19, 2022","3.161","3.144","3.183","3.118","-0.06%"
"Dec 18, 2022","3.163","3.144","3.183","3.135","0.80%"
"Dec 17, 2022","3.138","3.138","3.138","3.138","-0.76%"
"Dec 16, 2022","3.162","3.167","3.190","3.144","-0.19%"
"Dec 15, 2022","3.168","3.088","3.176","3.085","2.86%"
"Dec 14, 2022","3.080","3.092","3.096","3.068","-1.22%"
"Dec 13, 2022","3.118","3.108","3.129","3.084","1.33%"
"Dec 12, 2022","3.077","2.990","3.099","2.990","-0.45%"
"Dec 11, 2022","3.091","2.990","3.099","2.990","0.16%"
"Dec 10, 2022","3.086","3.081","3.086","3.081","0.75%"
"Dec 09, 2022","3.063","3.104","3.109","3.058","-0.42%"
"Dec 08, 2022","3.076","3.039","3.084","3.029","0.03%"
"Dec 07, 2022","3.075","3.043","3.089","3.040","1.42%"
"Dec 06, 2022","3.032","3.022","3.032","2.980","0.83%"
"Dec 05, 2022","3.007","2.984","3.012","2.963","0.70%"
"Dec 04, 2022","2.986","2.984","2.991","2.970","0.23%"
"Dec 03, 2022","2.979","2.978","2.979","2.978","-0.87%"
"Dec 02, 2022","3.005","3.035","3.035","2.964","-2.44%"
"Dec 01, 2022","3.080","3.068","3.093","3.026","-1.53%"
"Nov 30, 2022","3.128","3.225","3.225","3.127","-1.85%"
"Nov 29, 2022","3.187","3.173","3.198","3.157","0.54%"
"Nov 28, 2022","3.170","3.236","3.247","3.142","-2.07%"
"Nov 27, 2022","3.237","3.236","3.247","3.181","-0.03%"
"Nov 26, 2022","3.238","3.238","3.238","3.238","0.90%"
"Nov 25, 2022","3.209","3.171","3.212","3.155","0.60%"
"Nov 24, 2022","3.190","3.196","3.205","3.155","-0.31%"
"Nov 23, 2022","3.200","3.156","3.201","3.124","2.01%"
"Nov 22, 2022","3.137","3.160","3.170","3.133","0.64%"
"Nov 21, 2022","3.117","3.169","3.204","3.103","-2.53%"
"Nov 20, 2022","3.198","3.169","3.204","3.103","0.88%"
"Nov 19, 2022","3.170","3.186","3.186","3.170","0.41%"
"Nov 18, 2022","3.157","3.148","3.179","3.146","0.32%"
"Nov 17, 2022","3.147","3.109","3.164","3.063","-0.35%"
"Nov 16, 2022","3.158","3.158","3.177","3.135","-1.62%"
"Nov 15, 2022","3.210","3.168","3.221","3.145","0.85%"
"Nov 14, 2022","3.183","3.135","3.193","3.069","0.66%"
"Nov 13, 2022","3.162","3.135","3.168","3.069","0.89%"
"Nov 12, 2022","3.134","3.095","3.134","3.095","1.06%"
"Nov 11, 2022","3.101","3.029","3.128","2.970","-3.31%"
"Nov 10, 2022","3.207","3.276","3.278","3.200","-4.58%"
"Nov 09, 2022","3.361","3.363","3.403","3.343","-1.64%"
"Nov 08, 2022","3.417","3.372","3.425","3.372","3.61%"
"Nov 07, 2022","3.298","3.317","3.402","3.269","0.12%"
"Nov 06, 2022","3.294","3.317","3.402","3.291","-0.69%"
"Nov 05, 2022","3.317","3.317","3.317","3.317","0.18%"
"Nov 04, 2022","3.311","3.382","3.393","3.293","-2.45%"
"Nov 03, 2022","3.394","3.364","3.407","3.364","4.46%"
"Nov 02, 2022","3.249","3.236","3.253","3.190","-1.25%"
"Nov 01, 2022","3.290","3.313","3.338","3.289","1.57%"
"Oct 31, 2022","3.239","3.300","3.311","3.206","-0.86%"
"Oct 30, 2022","3.267","3.300","3.311","3.209","-0.97%"
"Oct 29, 2022","3.299","3.299","3.299","3.299","1.95%"
"Oct 28, 2022","3.236","3.267","3.275","3.206","-3.55%"
"Oct 27, 2022","3.355","3.369","3.405","3.312","-3.06%"
"Oct 26, 2022","3.461","3.405","3.531","3.385","-1.95%"
"Oct 25, 2022","3.530","3.533","3.555","3.517","-0.59%"
"Oct 24, 2022","3.551","3.614","3.629","3.537","-0.42%"
"Oct 23, 2022","3.566","3.614","3.615","3.562","-1.36%"
"Oct 22, 2022","3.615","3.615","3.615","3.615","-1.09%"
"Oct 21, 2022","3.655","3.569","3.655","3.562","3.16%"
"Oct 20, 2022","3.543","3.461","3.583","3.461","4.48%"
"Oct 19, 2022","3.391","3.370","3.395","3.360","0.41%"
