"Date","Price","Open","High","Low","Change %"
"Dec 23, 2022","4.3275","4.2800","4.3300","4.2590","1.11%"
"Dec 22, 2022","4.2799","4.2190","4.2820","4.1910","1.34%"
"Dec 21, 2022","4.2232","4.2620","4.2810","4.1980","-1.00%"
"Dec 20, 2022","4.2658","4.2600","4.3140","4.2450","0.04%"
"Dec 19, 2022","4.2641","4.2140","4.2680","4.1690","1.39%"
"Dec 18, 2022","4.2056","4.2014","4.2056","4.2014","0.55%"
"Dec 16, 2022","4.1825","4.2470","4.3000","4.1550","-1.37%"
"Dec 15, 2022","4.2404","4.2350","4.2780","4.1960","0.58%"
"Dec 14, 2022","4.2158","4.2220","4.3160","4.1610","0.04%"
"Dec 13, 2022","4.2141","4.3820","4.4440","4.1390","-3.83%"
"Dec 12, 2022","4.3817","4.3630","4.4090","4.3190","0.52%"
"Dec 11, 2022","4.3589","4.3610","4.3610","4.3589","0.38%"
"Dec 09, 2022","4.3422","4.3180","4.3550","4.2530","0.66%"
"Dec 08, 2022","4.3139","4.2730","4.3260","4.2680","1.16%"
"Dec 07, 2022","4.2644","4.3730","4.3810","4.2350","-2.34%"
"Dec 06, 2022","4.3664","4.3940","4.4120","4.3390","-0.67%"
"Dec 05, 2022","4.3957","4.3110","4.4160","4.2920","2.01%"
"Dec 04, 2022","4.3089","4.3131","4.3131","4.3089","0.58%"
"Dec 02, 2022","4.2841","4.2420","4.4100","4.1810","1.14%"
"Dec 01, 2022","4.2358","4.3250","4.3680","4.2300","-2.15%"
"Nov 30, 2022","4.3287","4.4810","4.5490","4.3120","-3.41%"
"Nov 29, 2022","4.4814","4.4480","4.4900","4.4090","0.83%"
"Nov 28, 2022","4.4443","4.4650","4.4860","4.4240","-0.42%"
"Nov 27, 2022","4.4629","4.4752","4.4752","4.4629","-0.09%"
"Nov 25, 2022","4.4670","4.4420","4.5230","4.4240","0.60%"
"Nov 24, 2022","4.4402","4.4381","4.4443","4.4381","-0.74%"
"Nov 23, 2022","4.4732","4.5160","4.5680","4.4690","-1.09%"
"Nov 22, 2022","4.5227","4.5330","4.5480","4.4900","-0.88%"
"Nov 21, 2022","4.5630","4.5240","4.5670","4.4950","0.90%"
"Nov 20, 2022","4.5223","4.5223","4.5223","4.5223","-0.19%"
"Nov 18, 2022","4.5308","4.4650","4.5390","4.4440","1.58%"
"Nov 17, 2022","4.4605","4.3630","4.4860","4.3480","2.18%"
"Nov 16, 2022","4.3655","4.3360","4.4010","4.3190","0.48%"
"Nov 15, 2022","4.3445","4.4010","4.4080","4.3210","-1.25%"
